标题,发表时间,来源
研究认为他汀类药物可降低新冠肺炎死亡率,2020/7/2 17:00,科普知识#人民健康网#医学前沿
日本新冠死亡人数超5000人 多地疫情呈暴发式扩大,2021/1/25 8:21,新闻一览#日本频道#社会#日本防控新冠肺炎疫情#滚动新闻#专题
世卫组织：全球累计新冠确诊病例达53766728例,2020/11/16 7:33,人民健康网
世卫组织：全球累计新冠确诊病例达54301156例,2020/11/17 8:28,社会#国内国际#江西频道
世卫组织：全球累计新冠确诊病例达39023292例,2020/10/18 9:37,国际要闻
全球累计新冠死亡病例超150万 多国单日创新高,2020/12/4 15:35,国内·国际#江苏频道
世卫组织：全球累计新冠确诊病例达54301156例,2020/11/17 7:57,人民健康网
印度新冠肺炎确诊病例超420万,2020/9/8 13:24,国际
【#球星C罗感染新冠病毒#】据彭博社报道...,2020/10/13 22:35,
菲律宾累计新冠确诊病例已达139538例,2020/8/12 17:06,南亚东南亚视窗
我国新冠疫苗研发顺利 年底前产能可达6.1亿剂,2020/10/21 10:14,人民健康网
泰国一种新冠疫苗有望于明年初面世,2020/6/26 20:16,滚动新闻#亚太#全球抗疫进行时#国际
福州多地可预约接种新冠病毒疫苗 10类重点人群优先,2020/12/22 16:55,福建频道#新闻列表#滚动新闻#采访部#吕春荣#卫生健康#地方要闻#行动！防控！福建全力抗击新型冠状病毒肺炎疫情#福建#本网原创#吴舟#新闻列表
《柳叶刀》总编辑：中国科学家果断、负责应对新冠疫情,2020/8/6 1:00,其他#国际#滚动新闻
俄罗斯首款新冠疫苗已获国家注册,2020/8/12 17:38,国际·军事
厄瓜多尔进口冻虾外包装检出新冠病毒,2020/7/12 16:09,国际#美洲#滚动新闻#独家稿库
连续多日无本土新冠病例 澳或放松部分地区入境限制,2020/11/11 11:06,贵州频道#采编人员信息统计#吴锋#国际要闻#频道稿件编辑统计查询
国务院联防联控机制：新冠病毒变异未对疫苗研发造成实质影响,2020/10/20 19:16,社会
全球累计新冠确诊病例达23311719例,2020/8/25 18:19,健康
古巴首款本土候选新冠疫苗启动临床试验,2020/8/26 0:53,滚动新闻#国际#美洲
中国以外新冠确诊病例达11414957例,2020/7/8 18:36,健康
20日辽宁无新增新冠肺炎确诊病例,2020/10/21 14:16,人民健康网
英国首相称学生返校新冠感染风险低,2020/8/25 21:26,滚动新闻#欧洲#英国频道#社会#国际
意大利新冠重症病例降至177例,2020/6/17 22:29,国际图片#图片频道
我国首个新冠病毒疫苗附条件上市 为全球战胜疫情注入信心,2020/12/31 14:45,社会
世卫组织：全球累计新冠确诊病例达51848261例,2020/11/13 8:58,人民健康网#健康舆情
【#青岛新增本地无症状2例#】#新冠肺炎...,2020/12/2 8:35,
世卫组织：全球累计新冠确诊病例达51848261例,2020/11/13 7:55,北京频道#国际资讯
俄总统新闻发言人感染新冠病毒,2020/5/13 5:04,人民网俄罗斯分公司报道集#时政#国际#消息#俄罗斯频道#滚动新闻#独家稿库#滚动
世卫组织：全球累计新冠确诊病例达51848261例,2020/11/13 7:35,国内国际#江西频道
1月25日0时至24时辽宁无新增新冠肺炎确诊病例,2021/1/26 8:09,头条二
日本27个道府县收治新冠患者的医疗机构仍未收到国家补助,2020/11/6 16:16,中日万象
日本27个道府县收治新冠患者的医疗机构仍未收到国家补助,2020/11/6 16:15,日本频道#独家报道#采写#独家稿库#东京速递#社会#滚动新闻#滚动新闻#国际
AC米兰主力门将多纳鲁马确诊感染新冠,2020/10/27 10:11,体育
秋冬季新冠肺炎疫情会不会卷土重来？疾控专家回应了,2020/8/20 16:44,国内要闻
印尼新冠确诊病例超8万,2020/7/16 16:34,南亚东南亚视窗
世卫组织：全球累计新冠确诊病例达53766728例,2020/11/16 7:44,江西频道#国内国际#社会
印度新冠肺炎确诊病例超420万,2020/9/8 16:34,人民健康融媒体联盟#人民健康网#健康舆情#人民日报
钟南山：今冬明春新冠肺炎疫情可能继续存在,2020/9/19 4:22,国内·国际#江苏频道
美国新冠肺炎确诊病例达1204万 死亡超25万,2020/11/22 8:43,张梦旭#滚动新闻#独家稿库#每日全球疫情要览#美洲#国际
第一批7名治愈出院新冠肺炎患者进入通化方舱康复医院进行康复治疗,2021/1/31 8:18,通化#社会#地方新闻#民生#吉林频道#左焦点图
波兰总理接触新冠确诊病例后自我隔离 检测呈阴性,2020/10/14 14:18,频道稿件编辑统计查询#国际要闻#陈晶晶#贵州频道#采编人员信息统计
综合消息：西班牙累计新冠确诊病例超200万 拉脱维亚延长限制措施期限,2021/1/8 16:04,欧洲#全球抗疫进行时#滚动新闻#国际#深度报道
11月21日江苏无新增新冠肺炎确诊病例,2020/11/22 13:32,江苏频道#滚动#民生
新冠病毒传播与温度纬度无关,2020/5/13 19:22,采编人员信息统计#罗彬月#IT科技#贵州频道#频道稿件编辑统计查询
世卫组织：全球累计新冠确诊病例达50266033例,2020/11/10 10:30,国际要闻
吉林省与国务院应对新冠肺炎疫情联防联控机制吉林工作组举行座谈会,2021/2/1 8:36,吉林频道#每日头条#要闻#时政#领导报道#景俊海#社会#民生
世卫组织：全球累计新冠确诊病例达53164803例,2020/11/15 8:16,江西频道#国内国际
天津新增1例境外输入新冠肺炎确诊病例,2020/9/23 16:15,人民健康网
世卫组织：全球累计新冠确诊病例达53766728例,2020/11/16 8:16,江苏频道#国内·国际
世卫组织：全球累计新冠确诊病例达53766728例,2020/11/16 8:12,国际新闻#安徽新闻列表
【#黑龙江新增本土确诊4例#】#新冠肺炎...,2021/1/3 0:06,
全球合力研发新冠疫苗 非洲新冠疫情正向农村地区扩散,2020/4/14 6:07,每日全球疫情要览
俄罗斯累计确诊新冠感染病例超过100万,2020/9/3 4:56,江苏频道#国内·国际
延吉：洪庆检查指导全市新冠肺炎疫情防控工作,2021/1/11 9:13,吉林频道#魅力延吉视窗
香港将扩大新冠病毒检测量,2020/5/20 16:28,时政#四川频道
抗击新冠肺炎疫情青年志愿服务先进个人和先进集体揭晓,2020/10/23 8:12,江西频道#社会#国内国际
石家庄市新冠肺炎疫情防控工作第19场新闻发布会实录,2021/1/23 19:33,疫情防控新闻发布会#石家庄#滚动新闻#河北频道#河北坚决打赢疫情防控阻击战#时政#河北疫情防控#频道原创新闻#河北#坚决打赢疫情防控阻击战 河北在行动#防控疫情，各地在行动#地方要闻
俄罗斯累计确诊新冠感染病例超过97万,2020/8/28 1:59,国际#人民网俄罗斯分公司报道集#消息#时政#滚动新闻#独家稿库#俄罗斯频道#滚动
美国加州一急诊室43名员工感染新冠 充气圣诞服装或成“罪魁”,2021/1/4 9:02,美国频道
孟加拉国累计新冠死亡病例超3500例,2020/8/13 16:45,国际#滚动新闻#亚太#全球抗疫进行时
12月4日辽宁无新增新冠肺炎确诊病例,2020/12/5 7:54,头条二
俄罗斯累计确诊新冠感染病例超过194万,2020/11/16 23:18,滚动新闻#社会| 法治#上海频道
印尼单日新增新冠确诊病例数创新高 下周开始疫苗接种,2021/1/6 21:14,国际#滚动新闻#亚太#全球抗疫进行时
北京12月27日新增1例境外输入新冠肺炎确诊病例,2020/12/28 14:35,人民健康网
美国新冠肺炎确诊病例超1600万 四天内新增约100万例,2020/12/13 8:24,国际#美洲#独家稿库#滚动新闻#李志伟
俄罗斯累计确诊新冠感染病例超过90万,2020/8/14 1:31,国内·国际#江苏频道
意大利新冠重症病例降至177例,2020/6/17 18:27,焦点
纳米比亚加强新冠病毒检测,2020/4/23 17:01,国际
世卫组织呼吁全球在新冠疫苗研发和供应中加强合作,2020/8/15 0:42,滚动新闻#国际观察#全球抗疫进行时#国际
世卫组织：全球累计新冠确诊病例达53164803例,2020/11/15 5:55,国际
2月11日辽宁新增1例境外输入新冠肺炎确诊病例,2021/2/12 8:04,头条二
伊朗新冠死亡病例超过1.5万,2020/7/24 16:34,国际
台湾连续4天出现新增新冠肺炎病例,2020/9/8 16:32,岛内万象#台湾频道#台湾新闻滚动
以色列新冠确诊病例创单日新增最高纪录,2020/9/5 17:28,国际要闻
全球单日新冠死亡数创新高 美国死亡病例超25万,2020/11/19 8:27,国内·国际#江苏频道
俄肺科专家：约30%至40%的新冠检测结果或为假阴性,2020/11/5 18:53,国际#人民网俄罗斯分公司报道集#消息#滚动#俄罗斯频道#社会
土耳其新冠确诊病例超18万例,2020/6/17 16:51,国际
12月2日辽宁无新增新冠肺炎确诊病例,2020/12/3 9:21,头条二
俄累计确诊新冠感染病例接近90万 计划与5国合作生产新冠疫苗,2020/8/12 6:40,滚动新闻#独家稿库#俄罗斯频道#滚动#消息#时政#国际#人民网俄罗斯分公司报道集
俄累计确诊新冠感染病例接近90万 计划与5国合作生产新冠疫苗,2020/8/12 7:35,国内·国际#江苏频道
日本研究：新冠病毒吸附在人体肌肤后可保持9小时的传染能力,2020/10/12 16:09,中日万象
世卫组织：全球累计新冠确诊病例达49578590例,2020/11/9 8:27,国际
日本体操名将内村航平感染新冠病毒,2020/10/30 9:09,体育
含邮轮日本新冠确诊病例数超9万例,2020/10/13 16:21,中日万象
世卫组织：全球累计新冠确诊病例达38394169例,2020/10/16 8:50,国际要闻
日本单日新增新冠病例400多例　自卫队多人确诊,2020/10/5 11:32,滚动新闻#社会#日本频道#新闻一览
【#天津新增本土确诊1例#】#新冠肺炎最...,2020/11/21 7:20,
世卫组织：全球新冠确诊病例超1亿零208万例 死亡超220万例,2021/2/1 8:29,独家稿库#张朋辉#滚动新闻#国际
日本单日新增新冠病例400多例 自卫队多人确诊,2020/10/5 9:53,国际要闻
肺有阴影，新冠还是癌,2020/2/28 22:27,人民健康网#新型冠状病毒感染的肺炎疫情防控动态#人民健康融媒体联盟#科普知识#防疫课堂#生命时报
接种新冠疫苗后为什么一定要留下观察30分钟？四川省疾控中心专家这样说……,2021/1/23 8:24,四川#四川频道#即时新闻
世卫组织：全球新冠肺炎死亡病例超100万,2020/9/30 8:32,独家稿库#欧洲#滚动新闻#全球抗疫进行时#张朋辉#国际
博尔特回应“确诊新冠”传闻：仍在等待检测结果,2020/8/25 16:53,国际
美国新冠肺炎确诊病例超1490万 死亡病例达28.3万例,2020/12/8 13:32,聚焦美国#美国频道#滚动新闻
#新冠肺炎最新动态#【#成都新增1例新冠...,2020/12/7 12:56,
约翰斯·霍普金斯大学：全球累计新冠确诊病例超5000万例,2020/11/9 8:54,人民健康网#健康舆情
上海新增本地新冠肺炎确诊病例2例,2021/1/26 8:32,人民健康网
2月7日黑龙江省无新增新冠肺炎确诊病例报告,2021/2/8 8:10,健康·生活
四川省抗击新冠肺炎疫情和防汛救灾表彰大会在成都隆重举行,2020/11/18 7:15,四川#四川频道#即时新闻
2月7日黑龙江省无新增新冠肺炎确诊病例报告,2021/2/8 7:36,王思迪#最新通报#保民生#黑龙江频道#人民网专稿#【权威发布】黑龙江省全力做好新型冠状病毒肺炎疫情防控工作#防控疫情，各地在行动
美国著名主持人拉里·金因感染新冠肺炎住院已超一周,2021/1/4 10:36,美国频道
中东新冠疫情持续蔓延 防疫形势不容乐观,2020/10/5 16:14,国内·国际#江苏频道
白俄罗斯总统透露自己曾感染新冠病毒,2020/7/29 16:46,国际
【直播回放】大连市新冠肺炎疫情防控工作第六十五次新闻发布会,2021/1/5 14:35,焦点图
北京12月19日新增2例境外输入新冠肺炎确诊病例,2020/12/20 8:51,疫情动态#北京频道#应对新型冠状病毒肺炎疫情 北京在行动
中国新冠灭活疫苗临床三期试验在阿根廷启动,2020/8/22 21:39,滚动新闻#独家稿库#消息#国际#美洲
美媒：美10月长期护理机构新冠死亡率为全国水平7倍,2020/11/13 8:27,人民健康网
新冠病毒刺突蛋白变体有了改良版,2020/7/27 16:10,科技
日本体操名将内村航平感染新冠病毒,2020/10/30 8:38,体操#滚动#体育#综合
中国以外新冠确诊病例达10448516例,2020/7/3 17:09,国际·军事
国务院联防联控机制：新冠病毒变异未对疫苗研发造成实质影响,2020/10/22 9:16,人民健康网#健康舆情
俄罗斯新增确诊新冠肺炎6065例 累计确诊1097251例,2020/9/20 17:08,滚动新闻#张光政#独家稿库#欧洲#国际
全球合力研发新冠疫苗 非洲新冠疫情正向农村地区扩散,2020/4/13 0:36,滚动新闻#独家稿库#亚太#新冠肺炎疫情蔓延 全球携手战“疫”#国际#燕勐
美国已有超过38万儿童感染新冠病毒,2020/8/12 1:48,国际#美洲#滚动新闻
俄罗斯累计确诊新冠感染病例超过194万,2020/11/16 16:54,人民网俄罗斯分公司报道集#国际#消息#滚动新闻#独家稿库#俄罗斯频道#社会#滚动
祝新根在全国抗击新冠肺炎疫情表彰大会上受表彰,2020/9/9 11:33,2020最美科技工作者展播
11月3日辽宁无新增新冠肺炎确诊病例,2020/11/4 11:10,人民健康网
2月17日江苏无新增新冠肺炎确诊病例,2021/2/18 11:07,江苏频道#社会
世卫组织：全球累计新冠确诊病例达49106931例,2020/11/8 9:57,国际
世卫组织：全球累计新冠确诊病例达51848261例,2020/11/13 8:28,上海频道
因日内瓦新冠疫情扩散 世贸总干事选定工作或延期,2020/11/4 8:42,人民健康网
美国新冠肺炎确诊超过800万 死亡约21.8万,2020/10/17 9:59,国内国际#江西频道
美国新冠肺炎确诊超过800万 死亡约21.8万,2020/10/17 9:31,国际#美洲#滚动新闻#独家稿库#全球抗疫进行时#张梦旭
全球新冠死亡逾125万例 印度确诊人数超850万,2020/11/9 8:34,南亚东南亚视窗
1月10日河南省新增新冠肺炎无症状感染者4例,2021/1/11 8:22,河南频道
约翰斯·霍普金斯大学：美国累计新冠确诊病例超1700万例,2020/12/18 9:18,人民健康网#健康舆情
美国新冠肺炎确诊病例达1204万 死亡超25万,2020/11/22 9:51,国内·国际#江苏频道
新冠肺炎相关用药可纳入今年医保目录,2020/8/19 16:49,贵州频道#采编人员信息统计#国内要闻#频道稿件编辑统计查询#陈晶晶
俄肺科专家：约30%至40%的新冠检测结果或为假阴性,2020/11/5 22:18,江苏频道#国内·国际
11月2日辽宁无新增新冠肺炎确诊病例,2020/11/3 7:55,头条二
世卫组织：全球报告新冠肺炎确诊超9106万例 死亡超197万例,2021/1/15 8:15,国际#其他#独家稿库#张朋辉#滚动新闻#全球抗疫进行时
巴西累计新冠确诊病例超340万,2020/8/19 21:38,国际#美洲#滚动新闻#全球抗疫进行时
3月13日江苏新增境外输入新冠肺炎确诊病例1例,2021/3/14 11:03,社会#江苏频道#滚动
博尔特回应“确诊新冠”传闻：仍在等待检测结果,2020/8/25 16:35,上海频道#要闻#国际#滚动新闻#文娱| 体育
【世卫：#全世界10%人口或已感染新冠#...,2020/10/6 8:10,
黑龙江省新冠病毒核酸检测机构384个 日检测能力达到77.2万管,2021/2/1 12:02,抗疫情#黑龙江频道#王思迪#人民网专稿#【权威发布】黑龙江省全力做好新型冠状病毒肺炎疫情防控工作#新闻发布会#防控疫情，各地在行动#就诊信息
韩国新冠疫情急剧扩散致病床告急 医疗体系亮红灯,2020/12/9 17:42,社会#韩国频道#专题#国际#滚动#原创新闻#抗击新冠肺炎疫情#滚动新闻#独家稿库
以发现新冠肺炎患者出现致命血栓原因,2020/6/18 16:37,人民健康网#科普知识
武汉：进口冷冻猪肉、牛肉外包装检出新冠病毒,2020/12/7 8:38,人民健康网#健康舆情
武汉：进口冷冻猪肉、牛肉外包装检出新冠病毒,2020/12/7 8:28,国内·国际#江苏频道
世卫组织：全球累计新冠确诊病例达38394169例,2020/10/16 8:25,安徽新闻列表#国际新闻
昨天上海无新增本地新冠肺炎确诊病例，新增2例境外输入病例,2021/3/7 8:54,上海频道
特朗普：孩子们不会病得很重，他们不会轻易感染新冠,2020/8/11 18:03,聚焦美国#滚动新闻#美国频道
丰台区已有8万人接种新冠疫苗 拟于春节前完成9类重点人群紧急接种,2021/1/13 22:06,滚动新闻#丰台区#北京频道#十六区动态
约翰斯·霍普金斯大学：全球累计新冠确诊病例超5000万例,2020/11/9 8:13,国际#全球抗疫进行时#滚动新闻
世卫组织：全球累计新冠确诊病例达51848261例,2020/11/13 7:16,国际
武汉：进口冷冻猪肉、牛肉外包装检出新冠病毒,2020/12/7 9:18,食品频道#行业24小时
武汉：进口冷冻猪肉、牛肉外包装检出新冠病毒,2020/12/7 8:34,四川频道#时政
美国单日新增新冠病例数降至两个月来最低,2020/8/27 0:13,国际要闻
食材包装上检出新冠病毒怎么办？陈君石院士回应了,2020/7/16 2:23,强国新闻
日本各机场新冠病毒检测能力将扩充一倍,2020/10/5 11:27,滚动新闻#日本频道#社会#新闻一览
国家卫健委相关负责人和专家介绍新冠病毒疫苗研发及接种情况（国务院联防联控机制发布会）,2020/12/22 10:15,新疆频道#科教·社会#滚动新闻#要闻#健康
2020年11月9日湖北省新冠肺炎疫情情况,2020/11/10 9:14,周倩文#本网原创#湖北频道#聚焦新型冠状病毒性肺炎#新闻中心#热点专题
国家医保局：新冠肺炎诊疗方案所列药品全部纳入国家医保目录,2020/12/28 14:23,国内要闻#贵州频道#采编人员信息统计#频道稿件编辑统计查询#陈晶晶
美国新冠肺炎确诊655万 死亡超19万,2020/9/15 16:56,美国频道
日媒：新冠疫情扩散 日本家中疗养者增至六千余人,2020/12/9 15:49,中日万象
联黎部队有90名官兵感染新冠病毒,2020/9/15 17:07,24小时滚动新闻#军事#国际防务
国务院应对新冠肺炎疫情联防联控机制吉林工作组召开通化市疫情防控调度会议,2021/1/27 8:47,社会#民生#吉林频道#要闻#时政
为遏制新冠疫情 希腊将在全国范围内实施三周封锁,2020/11/6 9:03,国际
江西省开展秋冬季新冠肺炎疫情防控专项督查,2020/10/15 7:02,江西频道#江西要闻
南方日报：新冠病毒溯源不能政治化,2020/5/29 15:48,观点#每日最新评论#社会·民生#南方日报
世卫组织：全球新冠肺炎确诊超7860万例 死亡超174万,2020/12/27 9:02,独家稿库#欧洲#张朋辉#全球抗疫进行时#滚动新闻#国际
美国俄克拉荷马州州长确诊感染新冠病毒,2020/7/16 16:21,滚动新闻#独家稿库#国际#美洲#郑琪
世卫组织：全球累计新冠确诊病例达50266033例,2020/11/10 10:33,国际要闻
世卫组织：全球累计新冠确诊病例达47362304例,2020/11/5 9:50,国际新闻#山东频道#滚动新闻
澳发明20分钟新冠病毒血液检测方法,2020/7/21 21:35,滚动#澳新频道#社会|科技
11月1日辽宁无新增新冠肺炎确诊病例,2020/11/2 7:57,头条二
俄罗斯累计确诊新冠感染病例超过108万,2020/9/18 0:52,深度报道#人民网俄罗斯分公司报道集#消息#国际#滚动#独家稿库#俄罗斯频道#社会
意大利现有新冠患者人数继续下降,2020/6/28 16:36,国际
世卫组织：全球累计新冠确诊病例达50676072例,2020/11/11 9:28,国际要闻
世卫组织：全球报告新冠肺炎确诊超8970万例 死亡超194万例,2021/1/13 8:15,国际#滚动新闻#全球抗疫进行时#张朋辉#独家稿库
“人民至上 生命至上”抗击新冠肺炎疫情专题展览开幕,2020/10/16 11:09,趣闻趣图
南京通报一境外输入新冠病毒无症状感染者,2020/9/10 18:21,江苏频道#建邺新闻#建邺头条#民生福祉#江苏要闻#建邺要闻#本网专稿#滚动#南京#社会#专稿#记者专稿
【直播回放】大连市新冠肺炎疫情防控工作第六十六次新闻发布会,2021/1/6 14:14,焦点图
俄罗斯累计确诊新冠感染病例超过89万,2020/8/11 1:14,国际#人民网俄罗斯分公司报道集#消息#独家稿库#俄罗斯频道#社会#滚动新闻#滚动
与新冠患者同车视察 法国总理检测结果为阴性,2020/9/9 22:03,国际#滚动新闻#欧洲
哈萨克斯坦将从俄罗斯获得由俄研制的新冠疫苗,2020/8/27 16:31,国际
中国以外新冠病例达达5404281例,2020/5/28 19:19,国际·军事
习近平主席特别代表王毅将出席新冠肺炎疫情问题特别联大,2020/12/3 7:41,张颖#新闻中心#国内#湖北频道#环球
习近平主席特别代表王毅将出席新冠肺炎疫情问题特别联大,2020/12/3 7:07,高层动态
世卫组织：全球累计新冠确诊病例达38002699例,2020/10/15 7:50,国际资讯#北京频道
斯里兰卡共产党总书记：新冠疫情暴露了新自由主义的野蛮,2020/9/2 19:23,滚动新闻#亚太#国际
世卫组织：全球累计新冠确诊病例达49578590例,2020/11/9 8:34,国内·国际#江苏频道
世卫组织：全球累计新冠确诊病例达49578590例,2020/11/9 7:10,国际
俄能源部长感染新冠　仍将出席视频会议,2020/8/20 17:31,滚动新闻#欧洲#全球抗疫进行时#国际
哈尔滨市呼兰区部分新冠肺炎无症状感染者出行轨迹公布,2021/1/25 15:49,人民网专稿#最新通报#黑龙江频道#王思迪#保民生#【权威发布】黑龙江省全力做好新型冠状病毒肺炎疫情防控工作#各地动态#防控疫情，各地在行动
俄罗斯累计确诊新冠感染病例超过96万,2020/8/26 0:56,国内国际#江西频道
世卫组织：全球累计新冠确诊病例达51251715例,2020/11/12 7:29,国际
全球年龄最大新冠肺炎患者痊愈,2020/5/30 5:35,滚动新闻#中东#王传宝#国际
“新冠疫情背景下面向未来的中日韩及东亚合作展望”在线对话会举行,2020/10/30 16:48,滚动新闻#全球抗疫进行时#人民网韩国分公司报道集#独家稿库#中国外交#消息#国际
美国已有超过38万儿童感染新冠病毒,2020/8/12 18:10,美国频道
美国已有超过38万儿童感染新冠病毒,2020/8/12 16:30,国内国际#江西频道
日本一职业棒球俱乐部11人感染新冠肺炎,2020/10/9 8:30,滚动新闻#日本频道#社会
伊拉克6名议员感染新冠肺炎,2020/6/22 21:57,滚动新闻#独家稿库#中东#新闻快递#国际
一发热就担心是感染了新冠？可能是空调惹的祸,2020/9/3 0:51,上海频道#滚动新闻#美食| 健康
黑龙江省印发通知要求：贯彻落实冷链食品新冠病毒防控技术指南,2020/10/23 8:05,黑龙江频道#省内要闻#李宏頔
世卫组织：全球累计新冠确诊病例达51251715例,2020/11/12 10:12,健康舆情#人民健康网
11月25日湖北新增新冠肺炎确诊病例0例,2020/11/26 10:31,最新播报#关喜艳#实况武汉#最新播报#湖北频道#聚焦新型冠状病毒性肺炎#新闻中心#热点专题#实况武汉
世卫组织：全球报告新冠肺炎确诊超9033万例 死亡超195万例,2021/1/14 8:20,国际#其他#独家稿库#滚动新闻#张朋辉#全球抗疫进行时
乌鲁木齐部分新冠肺炎病例经反复检测才被发现,2020/8/15 15:02,江西频道#国内国际
世卫组织：全球累计新冠确诊病例达51251715例,2020/11/12 7:55,国内国际#江西频道
11月29日辽宁无新增新冠肺炎确诊病例,2020/11/30 8:41,头条二
美国近80万儿童感染新冠 两周内新增超9万例,2020/10/28 10:43,美国频道
习近平主席特别代表王毅将出席新冠肺炎疫情问题特别联大,2020/12/3 5:32,滚动新闻#中国外交#国际
中国以外新冠确诊病例达9567876例,2020/6/28 22:25,健康
面对17亿人次的春运，新冠疫情防控准备好了吗？,2021/1/21 8:32,人民健康网
全球累计新冠确诊病例达29155581例,2020/9/16 22:31,健康
澳大利亚一款新冠候选疫苗在动物实验中效果良好,2020/8/28 23:37,图片频道#滚动图片新闻#国际图片
全球累计新冠确诊病例达28918900例,2020/9/15 17:28,健康
白俄罗斯总统透露自己曾感染新冠病毒,2020/7/29 16:29,人民健康网
习近平主席特别代表王毅在新冠肺炎疫情问题特别联大上发表讲话,2020/12/4 17:05,国际#深度报道#滚动新闻#中外交流#全球抗疫进行时
世卫组织：全球累计新冠确诊病例达49106931例,2020/11/8 7:36,国际要闻
谭德塞:希望新冠疫情能在两年之内结束,2020/8/22 17:13,国际·军事
世卫组织：全球累计新冠确诊病例达37704153例,2020/10/14 7:48,北京频道#国际资讯
刘清泉：应对新冠+流感双重挑战 要发挥中西医结合优势,2020/11/2 16:11,人民健康网
俄罗斯累计确诊新冠感染病例超过99万,2020/9/1 0:22,人民网俄罗斯分公司报道集#消息#国际#滚动新闻#滚动#社会#独家稿库#俄罗斯频道
日本成田机场开设新冠核酸检测中心 2小时可获结果,2020/11/3 16:32,中日万象
日本东京都新冠病例累计超2万例,2020/8/28 16:11,滚动新闻#日本频道#社会
世卫组织：全球累计新冠确诊病例达50676072例,2020/11/11 7:28,国际
天津市抗击新冠肺炎疫情表彰大会举行 李鸿忠讲话,2020/10/23 13:56,高层动态
日本成田机场开设新冠核酸检测中心 2小时可获结果,2020/11/3 8:12,滚动新闻#日本频道#社会
11月27日湖北新增新冠肺炎确诊病例0例,2020/11/28 12:37,关喜艳#新闻中心#湖北频道#热点专题#聚焦新型冠状病毒性肺炎
西媒曝皇马球员奥德加德新冠测试呈阳性,2020/9/24 9:13,体育
2020年12月31日湖北新增新冠肺炎确诊病例0例,2021/1/1 8:48,实况武汉#最新播报#最新播报#热点专题#聚焦新型冠状病毒性肺炎#实况武汉#湖北频道#新闻中心
2020年12月30日湖北新增新冠肺炎确诊病例0例,2020/12/31 9:20,湖北频道#湖北各地#新闻中心#湖北要闻#周恬#社会民生#民生万象
综述：多国在早期废水中发现新冠病毒踪迹,2020/7/10 23:59,国际#其他#滚动新闻
抗击新冠肺炎疫情青年志愿服务先进个人和先进集体揭晓,2020/10/23 9:29,时政#四川频道#即时新闻
抗击新冠肺炎疫情青年志愿服务先进个人和先进集体揭晓,2020/10/23 11:41,科教文卫#青海频道#滚动新闻
普京表示俄一定能够战胜新冠疫情,2020/4/18 17:31,国际
新冠疫情下免疫学成果将再成焦点？,2020/9/30 8:49,国际
希腊民众产生“新冠疲劳” 当局暂停出台更多限制措施,2020/10/10 10:32,频道稿件编辑统计查询#陈晶晶#国际要闻#贵州频道#采编人员信息统计
美国已有超过38万儿童感染新冠病毒,2020/8/12 16:41,人民健康网
抗击新冠肺炎疫情青年志愿服务先进个人和先进集体揭晓,2020/10/23 8:23,滚动新闻#教育| 科技#要闻#国内#上海频道
世卫组织:加入"新冠肺炎疫苗实施计划"的国家和地区已达184个,2020/10/20 7:10,国际
成都市新增境外输入新冠肺炎确诊病例4例,2020/11/8 8:30,成都#四川频道
英国出现首例动物确诊感染新冠病毒病例,2020/7/30 18:03,英国频道
世卫组织：全球累计新冠确诊病例达50266033例,2020/11/10 8:02,国内国际#江西频道
美国得州埃尔帕索新冠疫情严峻 当地政府寻求更多遗体搬运工,2020/11/23 9:20,美国频道
世卫组织：全球累计新冠确诊病例达50266033例,2020/11/10 7:22,人民健康网
日本体操名将内村航平感染新冠病毒,2020/10/30 8:21,日本频道#社会#滚动新闻
世卫组织：全球累计新冠确诊病例达50676072例,2020/11/11 8:08,国内国际#江西频道
日本体操名将内村航平感染新冠病毒,2020/10/30 16:02,中日万象
【直播回放】大连市新冠肺炎疫情防控工作第六十二次新闻发布会,2021/1/2 13:52,焦点图
莫斯科过去一周新增新冠病毒感染者数量为8月最低,2020/8/31 16:27,国际
美国已有超过38万儿童感染新冠病毒,2020/8/12 1:55,国内·国际#江苏频道
意大利现有新冠患者降至15060人,2020/7/3 16:31,滚动新闻#欧洲#国际
印尼新冠肺炎新增确诊病例4442例 累计突破50万例,2020/11/23 21:39,国内·国际#江苏频道
国庆中秋假期江苏组织开展冷链食品新冠病毒核酸检测,2020/10/2 11:05,民生#江苏频道#江苏要闻
中国一线医生撰写抗击新冠肺炎日记在日本出版发行,2020/12/4 15:38,中日万象
日本新增新冠确诊3158例 当局考虑再次进入紧急状态,2021/1/4 10:05,贵州频道#采编人员信息统计#吴锋#国际要闻#频道稿件编辑统计查询
——三问石家庄市新冠肺炎患者救治,2021/1/15 8:25,人民健康网#地方报道
日本新冠确诊病例累计超3万例,2020/7/27 16:25,国际#滚动新闻#亚太#独家稿库#全球抗疫进行时
世卫组织：全球累计新冠确诊病例达50266033例,2020/11/10 2:29,国际
已发现新冠肺炎患者出现致命血栓原因,2020/6/18 17:49,贵州频道#采编人员信息统计#健康养生#频道稿件编辑统计查询#顾兰云
新冠肺炎相关用药可纳入今年医保目录,2020/8/19 20:14,新疆频道#科教·社会#滚动新闻#要闻
世卫组织：全球累计新冠确诊病例达51251715例,2020/11/12 8:27,滚动新闻#社会| 法治#上海频道#要闻
【直播回放】大连市新冠肺炎疫情防控工作第六十八次新闻发布会,2021/1/8 15:33,焦点图
